antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'书架'}),frozenset({'椅子'}),0.5343709468223087,0.6523994811932555,0.38261997405966275,0.7160194174757282,1.0975168407033526,0.03399664558803983,1.2240291773365704,0.19082196308011884
frozenset({'器具'}),frozenset({'装订机'}),0.48378728923476005,0.6549935149156939,0.3398184176394293,0.7024128686327078,1.0723966766649855,0.022940880592018376,1.1593461165445602,0.13077793547892128
frozenset({'收纳具'}),frozenset({'椅子'}),0.6251621271076524,0.6523994811932555,0.4383916990920882,0.7012448132780082,1.0748702803923347,0.03053625170538371,1.1634961810059083,0.18582748100980734
frozenset({'标签'}),frozenset({'椅子'}),0.46433203631647213,0.6523994811932555,0.3346303501945525,0.7206703910614525,1.1046458678099003,0.031700370600278194,1.244409857328145,0.17684929707002994
frozenset({'桌子'}),frozenset({'椅子'}),0.19584954604409857,0.6523994811932555,0.14007782101167315,0.7152317880794702,1.0963095598593866,0.012305678780568624,1.2206436823213584,0.10924432497013131
frozenset({'系固件'}),frozenset({'椅子'}),0.5149156939040207,0.6523994811932555,0.3631647211413748,0.7052896725440807,1.081070253541722,0.027233989580126572,1.179465008258783,0.1545932009167305
frozenset({'纸张'}),frozenset({'椅子'}),0.48119325551232167,0.6523994811932555,0.3424124513618677,0.7115902964959568,1.090727869976904,0.02848222111193538,1.2052317053953476,0.1603314393939392
frozenset({'美术'}),frozenset({'椅子'}),0.4798962386511025,0.6523994811932555,0.33722438391699094,0.7027027027027027,1.077104937939928,0.024140326794416966,1.1692017450772316,0.13763667753692707
frozenset({'电话'}),frozenset({'装订机'}),0.4993514915693904,0.6549935149156939,0.35149156939040205,0.7038961038961038,1.0746611804037545,0.024419580748972547,1.1651534803285772,0.13876833068848815
frozenset({'美术'}),frozenset({'装订机'}),0.4798962386511025,0.6549935149156939,0.3398184176394293,0.7081081081081081,1.081091784854161,0.02548949349052304,1.1819666618629003,0.1442196036625993
"frozenset({'书架', '信封'})",frozenset({'收纳具'}),0.3099870298313878,0.6251621271076524,0.2191958495460441,0.7071129707112971,1.131087345266411,0.025403698600870384,1.279803594589587,0.1679605819281932
"frozenset({'书架', '信封'})",frozenset({'椅子'}),0.3099870298313878,0.6523994811932555,0.22568093385214008,0.7280334728033473,1.1159320229252103,0.02344555641350443,1.2781003691509527,0.15055958862673913
"frozenset({'书架', '器具'})",frozenset({'收纳具'}),0.2801556420233463,0.6251621271076524,0.19974059662775617,0.712962962962963,1.1404449054863994,0.024597899539230972,1.305886782979792,0.17107757107757104
"frozenset({'书架', '器具'})",frozenset({'椅子'}),0.2801556420233463,0.6523994811932555,0.20881971465629054,0.7453703703703703,1.1425060746631324,0.02604631914689598,1.3651220374955781,0.17327513849252973
"frozenset({'书架', '复印机'})",frozenset({'椅子'}),0.2918287937743191,0.6523994811932555,0.2127107652399481,0.7288888888888888,1.1172432074221337,0.022321811584328777,1.2821330611724178,0.1481841329402303
"frozenset({'书架', '收纳具'})",frozenset({'椅子'}),0.3476005188067445,0.6523994811932555,0.2619974059662776,0.7537313432835822,1.1553218005400434,0.03522300783425103,1.411468773336478,0.20607050764718632
"frozenset({'用具', '书架'})",frozenset({'收纳具'}),0.2918287937743191,0.6251621271076524,0.20752269779507135,0.7111111111111111,1.1374827109266943,0.025082388327857613,1.2975157138581264,0.170673076923077
"frozenset({'用品', '书架'})",frozenset({'收纳具'}),0.3035019455252918,0.6251621271076524,0.21530479896238652,0.7094017094017095,1.1347483774869669,0.025566877116484255,1.289883268482491,0.17049202396176905
"frozenset({'纸张', '书架'})",frozenset({'收纳具'}),0.29701686121919585,0.6251621271076524,0.2127107652399481,0.7161572052401747,1.1455543677182047,0.027027072493317233,1.3205826598822707,0.18074430744307435
"frozenset({'书架', '收纳具'})",frozenset({'装订机'}),0.3476005188067445,0.6549935149156939,0.24773022049286642,0.7126865671641791,1.0880818678882813,0.02005413489311808,1.2008017922414809,0.12408272875834006
"frozenset({'书架', '设备'})",frozenset({'收纳具'}),0.20492866407263294,0.6251621271076524,0.1504539559014267,0.7341772151898734,1.174378906455171,0.02234031636444997,1.4101043789759744,0.18675817066996686
"frozenset({'书架', '标签'})",frozenset({'椅子'}),0.2723735408560311,0.6523994811932555,0.21141374837872892,0.7761904761904762,1.1897472309003123,0.03371739163348425,1.5531087010514115,0.219185722253207
"frozenset({'书架', '标签'})",frozenset({'装订机'}),0.2723735408560311,0.6549935149156939,0.19455252918287938,0.7142857142857144,1.0905233380480908,0.016149626287554203,1.207522697795072,0.11408199643493769
"frozenset({'用具', '书架'})",frozenset({'椅子'}),0.2918287937743191,0.6523994811932555,0.2140077821011673,0.7333333333333333,1.124055666003976,0.023618828445547968,1.3035019455252914,0.15584415584415565
"frozenset({'用品', '书架'})",frozenset({'椅子'}),0.3035019455252918,0.6523994811932555,0.2178988326848249,0.7179487179487181,1.1004740786052916,0.01989432088298082,1.232401839405731,0.13108539505187553
"frozenset({'书架', '电话'})",frozenset({'椅子'}),0.2892347600518807,0.6523994811932555,0.2127107652399481,0.7354260089686098,1.12726332587435,0.024014157839045397,1.3138121304051524,0.15883701264019925
"frozenset({'书架', '系固件'})",frozenset({'椅子'}),0.3009079118028534,0.6523994811932555,0.23216601815823606,0.771551724137931,1.1826369369986975,0.0358538526111086,1.5215720823238628,0.22090359759952746
"frozenset({'纸张', '书架'})",frozenset({'椅子'}),0.29701686121919585,0.6523994811932555,0.22827496757457846,0.7685589519650655,1.1780496062923766,0.034501321409525915,1.50189658125933,0.21499706474337466
"frozenset({'书架', '美术'})",frozenset({'椅子'}),0.2840466926070039,0.6523994811932555,0.21530479896238652,0.7579908675799087,1.1618508129306355,0.029992884070917047,1.436311577710888,0.1945717653221582
"frozenset({'书架', '装订机'})",frozenset({'椅子'}),0.3540856031128405,0.6523994811932555,0.26588845654993515,0.7509157509157509,1.151006051602473,0.03488319278111704,1.3955138475623712,0.20311489861886567
"frozenset({'书架', '设备'})",frozenset({'椅子'}),0.20492866407263294,0.6523994811932555,0.14915693904020752,0.7278481012658228,1.1156478848428417,0.015461584917594862,1.2772298132898983,0.1303780409958154
"frozenset({'配件', '书架'})",frozenset({'椅子'}),0.2801556420233463,0.6523994811932555,0.20233463035019456,0.7222222222222222,1.1070245195493704,0.019561234840799996,1.2513618677042802,0.1343035343035342
"frozenset({'用具', '书架'})",frozenset({'装订机'}),0.2918287937743191,0.6549935149156939,0.21141374837872892,0.7244444444444444,1.10603300330033,0.020267780990880502,1.2520396636124012,0.13537382862536235
"frozenset({'书架', '电话'})",frozenset({'装订机'}),0.2892347600518807,0.6549935149156939,0.2127107652399481,0.7354260089686098,1.1227989166629666,0.02326387311776945,1.3040075622678005,0.15387439914545123
"frozenset({'书架', '美术'})",frozenset({'装订机'}),0.2840466926070039,0.6549935149156939,0.20881971465629054,0.7351598173515982,1.1223925132239252,0.022770973065451422,1.3026969005769489,0.15230893869835277
"frozenset({'书架', '设备'})",frozenset({'装订机'}),0.20492866407263294,0.6549935149156939,0.14396887159533073,0.7025316455696202,1.0725780172954005,0.009741925607419405,1.159809034964263,0.08510794644562994
"frozenset({'器具', '信封'})",frozenset({'收纳具'}),0.2918287937743191,0.6251621271076524,0.21530479896238652,0.7377777777777778,1.1801383125864453,0.03286448949517279,1.4294664644199695,0.21554349265192646
"frozenset({'器具', '信封'})",frozenset({'椅子'}),0.2918287937743191,0.6523994811932555,0.21141374837872892,0.7244444444444444,1.1104307488402916,0.021024794723109586,1.2614534956696373,0.1404301220252139
"frozenset({'器具', '信封'})",frozenset({'装订机'}),0.2918287937743191,0.6549935149156939,0.20752269779507135,0.7111111111111111,1.0856765676567657,0.016376730407222928,1.1942532175995213,0.11143543956043961
"frozenset({'复印机', '信封'})",frozenset({'收纳具'}),0.28793774319066145,0.6251621271076524,0.20233463035019456,0.7027027027027027,1.1240327464393856,0.022326858342543693,1.2608182997288058,0.15496707299986004
"frozenset({'复印机', '信封'})",frozenset({'装订机'}),0.28793774319066145,0.6549935149156939,0.20492866407263294,0.7117117117117118,1.0865935242172866,0.016331309583289183,1.196741245136187,0.11191810195752928
"frozenset({'标签', '信封'})",frozenset({'收纳具'}),0.2607003891050584,0.6251621271076524,0.1893644617380026,0.72636815920398,1.1618876571499348,0.026384451947291637,1.3698620445702154,0.18846431146359033
"frozenset({'信封', '椅子'})",frozenset({'收纳具'}),0.35667963683527887,0.6251621271076524,0.2594033722438392,0.7272727272727273,1.1633345907204828,0.03642077178391129,1.3744055339386079,0.21824596774193558
"frozenset({'收纳具', '信封'})",frozenset({'椅子'}),0.35797665369649806,0.6523994811932555,0.2594033722438392,0.7246376811594203,1.110726942691676,0.025859589092946167,1.2623387261929142,0.1552727272727274
"frozenset({'用具', '信封'})",frozenset({'收纳具'}),0.2892347600518807,0.6251621271076524,0.2127107652399481,0.7354260089686098,1.1763764583294567,0.03189214741244292,1.4167600958473472,0.21094445433505415
"frozenset({'用品', '信封'})",frozenset({'收纳具'}),0.2905317769130999,0.6251621271076524,0.21530479896238652,0.7410714285714286,1.1854067871962064,0.03367533531502706,1.4476497159980324,0.22045769916962185
